"slider_crank_v2"

"Time      "	".JOINT_3.Element_Force.X"	".JOINT_3.Element_Force.Y"	".JOINT_3.Element_Force.Mag"
2.025159e-01	1.099301e-02	6.685292e-01	6.686231e-01
2.030000e-01	-5.530833e-02	9.670101e-01	9.685973e-01
2.034841e-01	-1.876937e-02	8.153665e-01	8.155825e-01
2.037420e-01	5.457854e-02	4.826624e-01	4.857399e-01
2.040000e-01	-1.617592e-02	7.889598e-01	7.891299e-01
2.045159e-01	-1.624205e-02	7.809184e-01	7.810915e-01
2.050000e-01	2.017944e-04	7.188028e-01	7.188028e-01
2.060000e-01	-9.164492e-04	7.262625e-01	7.262647e-01
2.062932e-01	2.335995e-02	5.970928e-01	5.975496e-01
2.070000e-01	6.887497e-03	6.830188e-01	6.830536e-01
2.074709e-01	3.234343e-02	5.697970e-01	5.707207e-01
2.077354e-01	4.457724e-02	5.400716e-01	5.419113e-01
2.080000e-01	3.108327e-02	5.902611e-01	5.910854e-01
2.090000e-01	6.982011e-03	7.120394e-01	7.120840e-01
2.100000e-01	-2.261101e-01	1.655674e+00	1.671057e+00
2.102569e-01	4.921887e-02	5.375689e-01	5.398173e-01
2.105968e-01	3.423989e-02	5.759354e-01	5.769561e-01
2.110000e-01	3.908373e-02	5.571857e-01	5.585547e-01
2.112688e-01	-4.000411e-03	7.581383e-01	7.581488e-01
2.120000e-01	4.306043e-02	5.500105e-01	5.516995e-01
2.123598e-01	5.589657e-02	5.103535e-01	5.134065e-01
2.126799e-01	6.066493e-02	4.695041e-01	4.734108e-01
2.130000e-01	5.601058e-02	5.018523e-01	5.049725e-01
2.140000e-01	5.432016e-02	5.114978e-01	5.143753e-01
2.150000e-01	-1.908110e-01	1.500740e+00	1.512823e+00
2.158436e-01	-9.747709e-02	1.143267e+00	1.147417e+00
2.160000e-01	6.561877e-02	5.231268e-01	5.272267e-01
2.162580e-01	1.391650e-01	3.937548e-01	4.176255e-01
2.170000e-01	4.394968e-02	5.488048e-01	5.505632e-01
2.173543e-01	-1.274035e-02	8.059488e-01	8.060636e-01
2.176771e-01	1.064220e-01	2.910000e-01	3.098499e-01
2.180000e-01	4.112699e-02	5.692158e-01	5.707011e-01
2.190000e-01	4.634096e-02	5.555700e-01	5.575067e-01
2.193333e-01	6.335976e-02	4.850161e-01	4.891378e-01
2.200000e-01	6.657937e-03	7.080757e-01	7.081133e-01
2.206719e-01	-1.735380e-01	1.385869e+00	1.396693e+00
2.210000e-01	1.256640e-01	2.199508e-01	2.533175e-01
2.217448e-01	-1.399805e-02	1.044957e+00	1.045053e+00
2.220000e-01	-4.165822e-01	3.624903e-01	5.522138e-01
2.224902e-01	2.962723e-02	5.410346e-01	5.418455e-01
2.230000e-01	4.932896e-02	5.866176e-01	5.886889e-01
2.240000e-01	-4.958151e-02	8.743623e-01	8.757669e-01
2.244452e-01	8.194248e-02	2.205764e-01	2.353052e-01
2.247539e-01	1.786072e-02	6.667984e-01	6.670383e-01
2.250000e-01	2.685425e-02	6.251812e-01	6.257584e-01
2.252500e-01	3.530387e-02	6.062566e-01	6.072838e-01
2.258958e-01	4.080836e-02	5.806813e-01	5.821139e-01
2.260000e-01	1.126748e-02	6.885748e-01	6.886676e-01
2.265339e-01	-7.713433e-02	1.000776e+00	1.003744e+00
2.268446e-01	-1.979554e-02	7.956317e-01	7.958779e-01
2.270000e-01	5.067764e-03	7.142198e-01	7.142378e-01
2.274083e-01	-3.092561e-04	7.310783e-01	7.310788e-01
2.278266e-01	1.373705e-01	2.198180e-01	2.592116e-01
2.280000e-01	6.282111e-02	5.720034e-01	5.754427e-01
2.286159e-01	-3.178445e-02	8.416675e-01	8.422678e-01
2.290000e-01	-7.092147e-02	9.862809e-01	9.888275e-01
2.292600e-01	-8.929854e-03	7.511555e-01	7.512085e-01
2.297533e-01	7.152306e-03	6.970407e-01	6.970778e-01
2.300000e-01	2.034074e-02	6.602451e-01	6.605587e-01
2.302818e-01	3.106845e-02	6.148588e-01	6.156434e-01
2.310000e-01	3.353079e-02	6.178853e-01	6.187950e-01
2.317778e-01	-6.341152e-02	9.419395e-01	9.440716e-01
2.320000e-01	-3.631559e-02	8.555895e-01	8.563599e-01
2.323637e-01	-1.228303e-02	7.721184e-01	7.722162e-01
2.326894e-01	7.690061e-02	5.000992e-01	5.059773e-01
2.330000e-01	4.095554e-03	7.013569e-01	7.013691e-01
2.333333e-01	3.310955e-02	6.356951e-01	6.365568e-01
2.337778e-01	-9.629738e-03	7.651666e-01	7.652272e-01
2.340000e-01	-7.646468e-02	9.850956e-01	9.880590e-01
2.342500e-01	3.171510e-02	6.022977e-01	6.031323e-01
2.350000e-01	5.079695e-02	5.626055e-01	5.648940e-01
2.353333e-01	1.327512e-02	6.884396e-01	6.885679e-01
2.356111e-01	2.299645e-02	6.425403e-01	6.429517e-01
